127.0.0.1, 2019-04-23 23:03:10, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002756
127.0.0.1, 2019-04-23 23:03:10, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001238
127.0.0.1, 2019-04-23 23:03:10, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.003480
127.0.0.1, 2019-04-23 23:03:10, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001436
127.0.0.1, 2019-04-23 23:03:10, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.001027
127.0.0.1, 2019-04-23 23:03:10, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.000669
127.0.0.1, 2019-04-23 23:03:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2019-04-23 23:03:13, POST, /admin/default/index, HTTP/1.1, 303, 0.007874
127.0.0.1, 2019-04-23 23:03:13, GET, /admin/default/site, HTTP/1.1, 200, 0.032669
127.0.0.1, 2019-04-23 23:03:13, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.000755
127.0.0.1, 2019-04-23 23:03:13, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.000577
127.0.0.1, 2019-04-23 23:03:13, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000399
127.0.0.1, 2019-04-23 23:03:13, POST, /admin/default/check_version, HTTP/1.1, 200, 0.272099
127.0.0.1, 2019-04-23 23:03:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2019-04-23 23:03:17, GET, /admin/default/index, HTTP/1.1, 303, 0.002769
127.0.0.1, 2019-04-23 23:03:17, GET, /admin/default/site, HTTP/1.1, 200, 0.024141
127.0.0.1, 2019-04-23 23:03:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2019-04-23 23:03:18, GET, /start, HTTP/1.1, 200, 0.018998
127.0.0.1, 2019-04-23 23:03:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000187
127.0.0.1, 2019-04-23 23:06:04, GET, /start, HTTP/1.1, 200, 0.014889
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000994
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.002555
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001389
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.003071
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.003990
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000631
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001431
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.004355
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002329
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001264
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002210
127.0.0.1, 2019-04-23 23:06:04, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000373
127.0.0.1, 2019-04-23 23:06:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000206
127.0.0.1, 2019-04-23 23:06:43, GET, /admin, HTTP/1.1, 500, 5.113797
127.0.0.1, 2019-04-23 23:06:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000217
127.0.0.1, 2019-04-23 23:06:51, GET, /admin/default/ticket/unknown, HTTP/1.1, 500, 5.013445
127.0.0.1, 2019-04-23 23:06:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000259
127.0.0.1, 2019-04-23 23:06:53, GET, /start, HTTP/1.1, 200, 0.017066
127.0.0.1, 2019-04-23 23:06:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000199
127.0.0.1, 2019-04-23 23:08:02, GET, /start, HTTP/1.1, 200, 0.017739
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000729
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001849
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001544
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.003323
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001201
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001735
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001440
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001901
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002077
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001680
127.0.0.1, 2019-04-23 23:08:02, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000944
127.0.0.1, 2019-04-23 23:08:03, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000271
127.0.0.1, 2019-04-23 23:08:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000165
127.0.0.1, 2019-04-23 23:08:18, GET, /admin, HTTP/1.1, 303, 0.056166
127.0.0.1, 2019-04-23 23:08:18, GET, /admin/default/site, HTTP/1.1, 200, 0.021576
127.0.0.1, 2019-04-23 23:08:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
127.0.0.1, 2019-04-23 23:09:13, GET, /admin/default/site, HTTP/1.1, 200, 0.023064
127.0.0.1, 2019-04-23 23:09:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000193
127.0.0.1, 2019-04-23 23:09:14, GET, /admin/default/site, HTTP/1.1, 200, 0.021880
127.0.0.1, 2019-04-23 23:09:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000245
127.0.0.1, 2019-04-23 23:09:15, GET, /admin/default/site, HTTP/1.1, 200, 0.022301
127.0.0.1, 2019-04-23 23:09:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2019-04-23 23:09:16, GET, /admin/default/site, HTTP/1.1, 200, 0.020937
127.0.0.1, 2019-04-23 23:09:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
127.0.0.1, 2019-04-23 23:09:37, GET, /, HTTP/1.1, 303, 0.000434
127.0.0.1, 2019-04-23 23:09:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.020363
127.0.0.1, 2019-04-23 23:09:37, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000246
127.0.0.1, 2019-04-23 23:09:46, GET, /admin, HTTP/1.1, 303, 0.003158
127.0.0.1, 2019-04-23 23:09:46, GET, /admin/default/site, HTTP/1.1, 200, 0.025190
127.0.0.1, 2019-04-23 23:09:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000182
127.0.0.1, 2019-04-23 23:09:49, GET, /examples/default/index, HTTP/1.1, 200, 0.006950
127.0.0.1, 2019-04-23 23:09:51, GET, /admin/default/site, HTTP/1.1, 200, 0.021537
127.0.0.1, 2019-04-23 23:09:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2019-04-23 23:09:52, GET, /start/default/index, HTTP/1.1, 200, 0.015654
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001186
127.0.0.1, 2019-04-23 23:09:52, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001548
